worker,time,bytes_sent,bytes_received
1,23,1933504512,1895881344
1,24,1995632640,2001159632
1,25,2081353728,2075463552
1,26,2161045504,2157829152
1,27,2220683264,2231620680
1,28,2311516160,2291612768
1,29,2389635072,2338385408
1,30,2465525760,2413549848
8,1,181723784,208440304
8,2,288463032,303115840
8,3,385505376,368997648
8,4,465852512,442333056
8,5,531388512,531221432
8,6,613570656,607464424
8,7,690116704,689447288
8,8,775706720,751788032
8,9,850942048,821286728
8,10,925390944,910806432
8,11,992368736,994965640
8,12,1081497696,1045955512
8,13,1157781600,1105711576
8,14,1238259808,1195978448
8,15,1288722528,1300833080
8,16,1347442784,1376514296
8,17,1463179360,1444884512
8,18,1543002208,1524544784
8,19,1623218272,1586989784
8,20,1697011808,1652589384
8,21,1776441440,1743788264
8,22,1847744608,1838284208
8,23,1900042336,1918866296
8,24,1978947680,1997709896
8,25,2042124384,2073809536
8,26,2107791456,2145403000
8,27,2221693024,2222139760
8,28,2310297696,2271872768
8,29,2389071968,2327760888
8,30,2461948000,2429305736
